trial,value,state,dataset.seed,model.beta,model.threshold,trainer.delta,trainer.g_scale,trainer.lr,trainer.surrogate_scale
0,0.771,COMPLETE,59,0.829643541684063,0.6559945203362026,0.6387926357773329,1.9063571821788408,0.00031489116479568613,14.907884894416696
1,0.7254,COMPLETE,213,0.9842828719107789,1.3324426408004217,0.1185260448662222,1.2421185223120967,0.029154431891537533,14.453378978124864
2,0.649,COMPLETE,612,0.882069553542002,0.7912291401980419,0.5722807884690141,0.4484685687215243,5.3370327626039544e-05,6.780602616231217
3,0.6805,COMPLETE,515,0.9491834326646726,0.6996737821583597,0.5104629857953323,0.6550748322169144,3.613894271216525e-05,7.960875022580142
4,0.6848,COMPLETE,966,0.8123598026672032,1.4488855372533331,0.2534717113185624,0.18825578416799568,0.00234238498471129,12.54335218612733
5,0.7451,COMPLETE,496,0.8836289738105243,0.6220382348447788,0.7158097238609412,0.6787661614294043,0.01712337597316398,2.8557701661212933
6,0.123,COMPLETE,547,0.8592251044569881,1.0200680211778108,0.6962700559185838,1.8277087639496858,1.3726318898045866e-05,5.916819650400321
7,0.627,COMPLETE,922,0.9700171965812533,1.097899978811085,0.9455490474077702,1.9422107927526613,5.4880470007660426e-05,15.727523643861176
8,0.5826,COMPLETE,829,0.8738486850410017,0.7713490317738959,0.39279729768693794,0.47236743859637587,2.259279742015695e-05,1.8593184893002233
9,0.7834,COMPLETE,987,0.9524174263432675,0.5745506436797708,0.2268318024772864,0.6337755684060234,0.00026730883107816685,11.31122558000672
