trial,value,state,model.beta,model.threshold,trainer.feedback_scale,trainer.lr,trainer.surrogate_scale
0,0.262,COMPLETE,0.9137451119974369,0.6560186404424365,1.4907884894416696,0.00031489116479568613,0.9556428757689246
1,0.097,COMPLETE,0.9142118522312097,1.2080725777960455,1.745734676972377,4.207053950287933e-05,0.15227525095137953
2,0.144,COMPLETE,0.8403444310288725,0.6818249672071006,1.6816410175208014,1.2087541473056957e-05,0.9729188669457949
3,0.149,COMPLETE,0.882069553542002,0.7912291401980419,1.097037220101252,5.415244119402538e-05,0.373818018663584
4,0.264,COMPLETE,0.8696087502258014,0.9560699842170359,0.6550748322169144,0.0028016351587162596,0.22554447458683766
5,0.085,PRUNED,0.9125587680837881,0.5464504127199977,1.077045432985862,0.013826232179369865,0.2797064039425238
6,0.085,PRUNED,0.9802882520781333,1.4656320330745594,0.22359802667203107,0.0026926469100861782,0.2534717113185624
7,0.085,PRUNED,0.9300042750373099,0.9401524937396013,0.2855770166121293,0.01712337597316398,0.3741523922560336
8,0.112,PRUNED,0.9727708763949686,0.7587799816000169,0.16533819011891496,3.077180271250682e-05,0.5456592191001431
9,0.085,PRUNED,0.9038749530752231,0.684854455525527,1.0881292402378406,0.004467752817973905,0.3805399684804699
